bundleID,starter,maindishI,maindishII,side,dessert,avg_rating
1,Fried Chicken Tenders,BBQ Brisket,Sausage,Mac and Cheese,Blondie Brownie,6.04
2,Fried Chicken Tenders,BBQ Brisket,Sausage,Mac and Cheese,Apple Pie a la Mode,9.29
3,Fried Chicken Tenders,BBQ Brisket,Sausage,Potato Salad,Blondie Brownie,6.2
4,Fried Chicken Tenders,BBQ Brisket,Sausage,Potato Salad,Apple Pie a la Mode,8.84
5,Fried Chicken Tenders,BBQ Brisket,Sausage,French Fry Platter,Blondie Brownie,8.24
6,Fried Chicken Tenders,BBQ Brisket,Sausage,French Fry Platter,Apple Pie a la Mode,9.9
7,Fried Chicken Tenders,BBQ Brisket,Lobster Roll,Mac and Cheese,Blondie Brownie,9.7
8,Fried Chicken Tenders,BBQ Brisket,Lobster Roll,Mac and Cheese,Apple Pie a la Mode,8.32
9,Fried Chicken Tenders,BBQ Brisket,Lobster Roll,Potato Salad,Blondie Brownie,6.29
10,Fried Chicken Tenders,BBQ Brisket,Lobster Roll,Potato Salad,Apple Pie a la Mode,8.93
11,Fried Chicken Tenders,BBQ Brisket,Lobster Roll,French Fry Platter,Blondie Brownie,8.03
12,Fried Chicken Tenders,BBQ Brisket,Lobster Roll,French Fry Platter,Apple Pie a la Mode,6.64
13,Fried Chicken Tenders,BBQ Brisket,Beef Short Rib,Mac and Cheese,Blondie Brownie,7.27
14,Fried Chicken Tenders,BBQ Brisket,Beef Short Rib,Mac and Cheese,Apple Pie a la Mode,6.23
15,Fried Chicken Tenders,BBQ Brisket,Beef Short Rib,Potato Salad,Blondie Brownie,4.78
16,Fried Chicken Tenders,BBQ Brisket,Beef Short Rib,Potato Salad,Apple Pie a la Mode,9.5036
17,Fried Chicken Tenders,BBQ Brisket,Beef Short Rib,French Fry Platter,Blondie Brownie,4.8
18,Fried Chicken Tenders,BBQ Brisket,Beef Short Rib,French Fry Platter,Apple Pie a la Mode,4.43
19,Fried Chicken Tenders,BBQ Brisket,Steak Sampler,Mac and Cheese,Blondie Brownie,7.708
20,Fried Chicken Tenders,BBQ Brisket,Steak Sampler,Mac and Cheese,Apple Pie a la Mode,6.788
21,Fried Chicken Tenders,BBQ Brisket,Steak Sampler,Potato Salad,Blondie Brownie,7.368
22,Fried Chicken Tenders,BBQ Brisket,Steak Sampler,Potato Salad,Apple Pie a la Mode,6.918
23,Fried Chicken Tenders,BBQ Brisket,Steak Sampler,French Fry Platter,Blondie Brownie,5.898
24,Fried Chicken Tenders,BBQ Brisket,Steak Sampler,French Fry Platter,Apple Pie a la Mode,5.738
25,Fried Chicken Tenders,Pulled Pork,Sausage,Mac and Cheese,Blondie Brownie,6.46
26,Fried Chicken Tenders,Pulled Pork,Sausage,Mac and Cheese,Apple Pie a la Mode,8.29
27,Fried Chicken Tenders,Pulled Pork,Sausage,Potato Salad,Blondie Brownie,8.26
28,Fried Chicken Tenders,Pulled Pork,Sausage,Potato Salad,Apple Pie a la Mode,9.53
29,Fried Chicken Tenders,Pulled Pork,Sausage,French Fry Platter,Blondie Brownie,6.77
30,Fried Chicken Tenders,Pulled Pork,Sausage,French Fry Platter,Apple Pie a la Mode,8.7
